trajectory_id,taxi_id,timestamp,sec,from_lon,from_lat,to_lon,to_lat
1385596922620000431,20000431,2013-11-28 00:02:02,122,-8.63037,41.154732,-8.610921,41.145885
1385596968620000184,20000184,2013-11-28 00:02:48,168,-8.611119,41.149485,-8.614296,41.171184
1385596998620000022,20000022,2013-11-28 00:03:18,198,-8.600175,41.182704,-8.624772,41.162166
1385597050620000440,20000440,2013-11-28 00:04:10,250,-8.591256,41.162715,-8.611326,41.150484
1385597067620000518,20000518,2013-11-28 00:04:27,267,-8.59986,41.175441,-8.599266,41.166144
1385597074620000467,20000467,2013-11-28 00:04:34,274,-8.628867,41.160942,-8.647353,41.157585
1385597077620000081,20000081,2013-11-28 00:04:37,277,-8.62884,41.16096,-8.630766,41.152653
1385597090620000038,20000038,2013-11-28 00:04:50,290,-8.627778,41.175432,-8.57556,41.232438
1385597100620000005,20000005,2013-11-28 00:05:00,300,-8.608842,41.147883,-8.631531,41.180238
1385597117620000610,20000610,2013-11-28 00:05:17,317,-8.647452,41.15106,-8.647515,41.151132
1385597194620000308,20000308,2013-11-28 00:06:34,394,-8.609391,41.151402,-8.609895,41.174541
1385597230620000112,20000112,2013-11-28 00:07:10,430,-8.609544,41.151276,-8.607708,41.173839
1385597271620000598,20000598,2013-11-28 00:07:51,471,-8.65512,41.151465,-8.667882,41.148756
1385597277620000398,20000398,2013-11-28 00:07:57,477,-8.64945,41.154363,-8.633862,41.158638
1385597297620000529,20000529,2013-11-28 00:08:17,497,-8.65926,41.153319,-8.63964,41.159583
1385597308620000680,20000680,2013-11-28 00:08:28,508,-8.61408,41.141133,-8.610192,41.153535
1385597326620000395,20000395,2013-11-28 00:08:46,526,-8.614656,41.140377,-8.640405,41.161599
1385597356620000472,20000472,2013-11-28 00:09:16,556,-8.614143,41.149323,-8.681796,41.160915
1385597373620000325,20000325,2013-11-28 00:09:33,573,-8.619948,41.147991,-8.607285,41.150718
1385597436620000224,20000224,2013-11-28 00:10:36,636,-8.61255,41.146056,-8.613693,41.141295
1385597448620000381,20000381,2013-11-28 00:10:48,648,-8.585595,41.17644,-8.611578,41.146119
1385597449620000455,20000455,2013-11-28 00:10:49,649,-8.61111,41.149539,-8.62335,41.157045
1385597538620000392,20000392,2013-11-28 00:12:18,738,-8.628399,41.160222,-8.649864,41.154012
1385597572620000595,20000595,2013-11-28 00:12:52,772,-8.621082,41.160996,-8.654229,41.153508
1385597614620000688,20000688,2013-11-28 00:13:34,814,-8.571294,41.157819,-8.571186,41.158179
1385597640620000657,20000657,2013-11-28 00:14:00,840,-8.636175,41.185008,-8.611299,41.150367
1385597706620000086,20000086,2013-11-28 00:15:06,906,-8.605467,41.107266,-8.596557,41.066046
1385597708620000136,20000136,2013-11-28 00:15:08,908,-8.619903,41.148,-8.59293,41.146353
1385597719620000042,20000042,2013-11-28 00:15:19,919,-8.607879,41.162427,-8.640972,41.161329
1385597744620000233,20000233,2013-11-28 00:15:44,944,-8.624691,41.164506,-8.628741,41.166891
1385597756620000235,20000235,2013-11-28 00:15:56,956,-8.609778,41.140791,-8.590338,41.09004
1385597767620000031,20000031,2013-11-28 00:16:07,967,-8.628345,41.157495,-8.589474,41.163237
1385597801620000242,20000242,2013-11-28 00:16:41,1001,-8.569692,41.204457,-8.606736,41.152239
1385597837620000664,20000664,2013-11-28 00:17:17,1037,-8.61642,41.147199,-8.604216,41.150961
1385597868620000571,20000571,2013-11-28 00:17:48,1068,-8.600211,41.182713,-8.577648,41.190336
1385597869620000011,20000011,2013-11-28 00:17:49,1069,-8.636733,41.150736,-8.617599,41.146047
1385597996620000381,20000381,2013-11-28 00:19:56,1196,-8.61093,41.147784,-8.615817,41.176629
1385598041620000345,20000345,2013-11-28 00:20:41,1241,-8.611056,41.149431,-8.611155,41.149422
1385598068620000254,20000254,2013-11-28 00:21:08,1268,-8.630145,41.154813,-8.656416,41.153256
1385598072620000435,20000435,2013-11-28 00:21:12,1272,-8.635005,41.151132,-8.641305,41.16006
