taxi_id,trajectory_id,timestamp,source_point,target_point
20000381,1385597448620000381,2013-11-28 00:10:48,POINT(-8.585595 41.17644),POINT(-8.611578 41.146119)
20000395,1385597326620000395,2013-11-28 00:08:46,POINT(-8.614656 41.140377),POINT(-8.640405 41.161599)
20000664,1385597837620000664,2013-11-28 00:17:17,POINT(-8.61642 41.147199),POINT(-8.604216 41.150961)
20000680,1385597308620000680,2013-11-28 00:08:28,POINT(-8.61408 41.141133),POINT(-8.610192 41.153535)
20000022,1385596998620000022,2013-11-28 00:03:18,POINT(-8.600175 41.182704),POINT(-8.624772 41.162166)
20000080,1385598441620000080,2013-11-28 00:27:21,POINT(-8.589276 41.169717),POINT(-8.589249 41.169861)
20000431,1385596922620000431,2013-11-28 00:02:02,POINT(-8.63037 41.154732),POINT(-8.610921 41.145885)
20000080,1385598466620000080,2013-11-28 00:27:46,POINT(-8.588745 41.170743),POINT(-8.587332 41.172876)
20000080,1385598502620000080,2013-11-28 00:28:22,POINT(-8.586162 41.17482),POINT(-8.581131 41.180427)
20000080,1385598670620000080,2013-11-28 00:31:10,POINT(-8.570322 41.179104),POINT(-8.567109 41.176683)
20000395,1385598311620000395,2013-11-28 00:25:11,POINT(-8.630199 41.154876),POINT(-8.614395 41.148243)
20000680,1385598455620000680,2013-11-28 00:27:35,POINT(-8.609931 41.153751),POINT(-8.586675 41.169996)
20000472,1385597356620000472,2013-11-28 00:09:16,POINT(-8.614143 41.149323),POINT(-8.681796 41.160915)
20000392,1385597538620000392,2013-11-28 00:12:18,POINT(-8.628399 41.160222),POINT(-8.649864 41.154012)
20000680,1385599114620000680,2013-11-28 00:38:34,POINT(-8.586675 41.169996),POINT(-8.590437 41.162778)
20000680,1385599524620000680,2013-11-28 00:45:24,POINT(-8.590437 41.162778),POINT(-8.590446 41.162769)
20000031,1385597767620000031,2013-11-28 00:16:07,POINT(-8.628345 41.157495),POINT(-8.589474 41.163237)
20000611,1385598813620000611,2013-11-28 00:33:33,POINT(-8.614107 41.14125),POINT(-8.603955 41.147037)
20000598,1385597271620000598,2013-11-28 00:07:51,POINT(-8.65512 41.151465),POINT(-8.667882 41.148756)
20000657,1385597640620000657,2013-11-28 00:14:00,POINT(-8.636175 41.185008),POINT(-8.611299 41.150367)
20000398,1385597277620000398,2013-11-28 00:07:57,POINT(-8.64945 41.154363),POINT(-8.633862 41.158638)
20000595,1385597572620000595,2013-11-28 00:12:52,POINT(-8.621082 41.160996),POINT(-8.654229 41.153508)
20000569,1385599251620000569,2013-11-28 00:40:51,POINT(-8.595324 41.15727),POINT(-8.611722 41.165307)
20000080,1385600305620000080,2013-11-28 00:58:25,POINT(-8.5671 41.167035),POINT(-8.569188 41.16762)
20000022,1385598463620000022,2013-11-28 00:27:43,POINT(-8.618409 41.153229),POINT(-8.616681 41.161005)
20000184,1385596968620000184,2013-11-28 00:02:48,POINT(-8.611119 41.149485),POINT(-8.614296 41.171184)
20000393,1385599544620000393,2013-11-28 00:45:44,POINT(-8.620902 41.15016),POINT(-8.602515 41.155497)
20000570,1385599650620000570,2013-11-28 00:47:30,POINT(-8.649567 41.167278),POINT(-8.620182 41.165883)
20000080,1385600457620000080,2013-11-28 01:00:57,POINT(-8.580411 41.164092),POINT(-8.587251 41.167296)
20000363,1385600420620000363,2013-11-28 01:00:20,POINT(-8.619948 41.146839),POINT(-8.613081 41.145966)
20000356,1385599188620000356,2013-11-28 00:39:48,POINT(-8.605674 41.153562),POINT(-8.615178 41.14161)
20000233,1385597744620000233,2013-11-28 00:15:44,POINT(-8.624691 41.164506),POINT(-8.628741 41.166891)
20000080,1385600565620000080,2013-11-28 01:02:45,POINT(-8.597106 41.171814),POINT(-8.608887 41.177322)
20000601,1385599257620000601,2013-11-28 00:40:57,POINT(-8.614737 41.141295),POINT(-8.61408 41.14782)
20000224,1385597436620000224,2013-11-28 00:10:36,POINT(-8.61255 41.146056),POINT(-8.613693 41.141295)
20000431,1385598488620000431,2013-11-28 00:28:08,POINT(-8.627229 41.152005),POINT(-8.616924 41.152626)
20000393,1385600425620000393,2013-11-28 01:00:25,POINT(-8.610957 41.150664),POINT(-8.602515 41.143248)
20000529,1385597297620000529,2013-11-28 00:08:17,POINT(-8.65926 41.153319),POINT(-8.63964 41.159583)
20000455,1385597449620000455,2013-11-28 00:10:49,POINT(-8.61111 41.149539),POINT(-8.62335 41.157045)
20000664,1385598405620000664,2013-11-28 00:26:45,POINT(-8.605179 41.161977),POINT(-8.640603 41.161257)
20000003,1385598851620000003,2013-11-28 00:34:11,POINT(-8.585802 41.148639),POINT(-8.597727 41.157648)
20000112,1385597230620000112,2013-11-28 00:07:10,POINT(-8.609544 41.151276),POINT(-8.607708 41.173839)
20000554,1385598546620000554,2013-11-28 00:29:06,POINT(-8.610867 41.145651),POINT(-8.610246 41.153121)
20000472,1385599128620000472,2013-11-28 00:38:48,POINT(-8.610966 41.150637),POINT(-8.604612 41.157162)
20000360,1385600639620000360,2013-11-28 01:03:59,POINT(-8.600103 41.145849),POINT(-8.627103 41.152239)
20000031,1385599551620000031,2013-11-28 00:45:51,POINT(-8.613828 41.142987),POINT(-8.606745 41.151942)
20000005,1385597100620000005,2013-11-28 00:05:00,POINT(-8.608842 41.147883),POINT(-8.631531 41.180238)
20000431,1385601095620000431,2013-11-28 01:11:35,POINT(-8.63055 41.15484),POINT(-8.592156 41.160906)
20000201,1385601683620000201,2013-11-28 01:21:23,POINT(-8.627247 41.151924),POINT(-8.612856 41.148225)
20000595,1385599850620000595,2013-11-28 00:50:50,POINT(-8.626023 41.159259),POINT(-8.614089 41.146308)
20000529,1385601197620000529,2013-11-28 01:13:17,POINT(-8.639676 41.159628),POINT(-8.659989 41.153931)
20000011,1385597869620000011,2013-11-28 00:17:49,POINT(-8.636733 41.150736),POINT(-8.617599 41.146047)
20000488,1385599187620000488,2013-11-28 00:39:47,POINT(-8.622162 41.16798),POINT(-8.598087 41.162157)
20000393,1385601161620000393,2013-11-28 01:12:41,POINT(-8.609985 41.15178),POINT(-8.616258 41.147244)
20000005,1385601701620000005,2013-11-28 01:21:41,POINT(-8.629776 41.179887),POINT(-8.651025 41.168952)
20000129,1385601865620000129,2013-11-28 01:24:25,POINT(-8.613972 41.141214),POINT(-8.602587 41.155551)
